"country,""indicator"",""measure"",""category"",""Unit"",""Date"",""Value"""
"Nicaragua,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",67.6"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",5.2"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",6.9"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",8.6"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",10.6"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",6.3"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",8.3"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",17.5"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",21.4"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",5.8"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",6.8"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",8.1"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",9.9"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",12.1"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",15.1"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",26.4"
"Panama,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",30.9"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",13.8"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",13.1"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",13.4"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",18.4"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",38.7"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",38.4"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",39.6"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",48.7"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",22.1"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",21.1"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",21.6"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",27.7"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",50.4"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",49.7"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",50.7"
"Venezuela, RB,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",58.4"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",10.9"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",10.6"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",10.8"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",10.3"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",23.2"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",22.6"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",23.2"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",24.8"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",14.7"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",14.4"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",14.9"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",14.6"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",20.9"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",20.7"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",22.7"
"Central Sub-Saharan Africa,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",25.7"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",12.8"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",11.4"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",12.6"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",15.5"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",36.4"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",33.7"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",36.5"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",42.9"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",17.2"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",15.8"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",17.2"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",20.9"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",41.4"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",39.1"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",42.6"
"Angola,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",49.1"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15.8"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",13.3"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",12.8"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",10.2"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",42.4"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",37.7"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",36.1"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",33.7"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",13.4"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",11.4"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",12.8"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",11.2"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",9.8"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",8.2"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",8.6"
"Central African Republic,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",10.1"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",13.9"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",14"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",12.3"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",8.9"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",38.5"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",38.9"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",35.8"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",29.2"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",15"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",15.3"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",15"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",11.2"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",34.9"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",35.4"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",37.7"
"Congo, Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",37.9"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",9.6"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",9.8"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",9.8"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",8.5"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",15.7"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",15.9"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",16.4"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",17.5"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",13.9"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",14"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",14.1"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",12.6"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",14.5"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",14.8"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",16.1"
"Congo, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",17.7"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",23.4"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",23.9"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",25.4"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",27.2"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",53.8"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",54.5"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",56.6"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",59.6"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",28.9"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",29.6"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",31.2"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",33.2"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",57"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",57.8"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",60.4"
"Equatorial Guinea,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",63.4"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",10.2"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",10.8"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",11.8"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",13.3"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",36.7"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",38.3"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",40"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",42.1"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",14.2"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",15"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",16.9"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",20.1"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",38.9"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",40.4"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",48.1"
"Gabon,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",59.6"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",7"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",10"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",15.5"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",22.6"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",9.8"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",11.8"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",20.2"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",28"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",4.5"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",8.2"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",10.7"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",13.7"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",13"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",14.8"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",22.3"
"East Asia,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",27.1"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",6.9"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",9.9"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",15.6"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",23"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",9.6"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",11.7"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",20.2"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",28.3"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1980 12:00:00 AM"",4.5"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/1990 12:00:00 AM"",8.2"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2000 12:00:00 AM"",10.8"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, <20"",""Percent"",""1/1/2013 12:00:00 AM"",14"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",13"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",14.9"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2000 12:00:00 AM"",22.5"
"China,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Females, 䊫20"",""Percent"",""1/1/2013 12:00:00 AM"",27.4"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1980 12:00:00 AM"",1"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/1990 12:00:00 AM"",1.1"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2000 12:00:00 AM"",1"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, <20"",""Percent"",""1/1/2013 12:00:00 AM"",1"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1980 12:00:00 AM"",4"
"Korea, Dem. Rep.,""Prevalence of overweight and obesity"",""age-adjusted population rate"",""Males, 䊫20"",""Percent"",""1/1/1990 12:00:00 AM"",4.3"
