"","","","Mean BMI (kg/m2) (age-standardized estimate)","Mean BMI (kg/m2) (age-standardized estimate)"
"Lithuania"," Female"," 18+  years","26 [24.3-27.5]","26 [24.7-27.2]"
"Lithuania"," Male"," 18+  years","27.3 [25.9-28.6]","27 [25.9-28]"
"Luxembourg"," Both sexes"," 18+  years","26.5 [25.8-27.3]","26.4 [25.8-27]"
"Luxembourg"," Female"," 18+  years","25.5 [24.3-26.6]","25.4 [24.4-26.3]"
"Luxembourg"," Male"," 18+  years","27.6 [26.6-28.6]","27.3 [26.5-28.1]"
"Madagascar"," Both sexes"," 18+  years","21.1 [20.2-22]","20.9 [20.2-21.6]"
"Madagascar"," Female"," 18+  years","21.2 [20.2-22.1]","21 [20.2-21.7]"
"Madagascar"," Male"," 18+  years","20.9 [19.5-22.4]","20.9 [19.7-22.1]"
"Malawi"," Both sexes"," 18+  years","22.8 [22.2-23.4]","22.5 [22-22.9]"
"Malawi"," Female"," 18+  years","23.3 [22.5-24.1]","22.9 [22.3-23.4]"
"Malawi"," Male"," 18+  years","22.3 [21.4-23.2]","22 [21.3-22.8]"
"Malaysia"," Both sexes"," 18+  years","25.3 [24.8-25.9]","25 [24.6-25.4]"
"Malaysia"," Female"," 18+  years","25.6 [24.9-26.4]","25.3 [24.8-25.8]"
"Malaysia"," Male"," 18+  years","25 [24.3-25.8]","24.6 [24.1-25.1]"
"Maldives"," Both sexes"," 18+  years","25.1 [24.4-25.7]","24.8 [24.2-25.3]"
"Maldives"," Female"," 18+  years","25.9 [25.1-26.8]","25.7 [25-26.3]"
"Maldives"," Male"," 18+  years","24.2 [23.3-25.2]","23.9 [23-24.7]"
"Mali"," Both sexes"," 18+  years","22.8 [22-23.5]","22.4 [21.8-23.1]"
"Mali"," Female"," 18+  years","23 [22.2-23.8]","22.6 [21.9-23.3]"
"Mali"," Male"," 18+  years","22.6 [21.2-24]","22.3 [21.1-23.4]"
"Malta"," Both sexes"," 18+  years","27.2 [25.7-28.5]","27.1 [25.8-28.3]"
"Malta"," Female"," 18+  years","26.8 [24.5-29.1]","26.8 [24.8-28.8]"
"Malta"," Male"," 18+  years","27.5 [25.7-29.3]","27.3 [25.7-28.9]"
"Marshall Islands"," Both sexes"," 18+  years","29.2 [28.2-30.2]","29.1 [28.4-29.9]"
"Marshall Islands"," Female"," 18+  years","30 [28.6-31.5]","30 [28.8-31.2]"
"Marshall Islands"," Male"," 18+  years","28.4 [27.1-29.7]","28.3 [27.2-29.4]"
"Mauritania"," Both sexes"," 18+  years","24.8 [23.7-26]","24.5 [23.5-25.4]"
"Mauritania"," Female"," 18+  years","26.4 [25-27.8]","26 [24.9-27.2]"
"Mauritania"," Male"," 18+  years","23.2 [21.6-24.8]","23 [21.5-24.4]"
"Mauritius"," Both sexes"," 18+  years","25.6 [24.9-26.3]","25.3 [24.7-25.8]"
"Mauritius"," Female"," 18+  years","26.2 [25.2-27.3]","25.9 [25.1-26.7]"
"Mauritius"," Male"," 18+  years","25 [24-25.9]","24.7 [24-25.3]"
"Mexico"," Both sexes"," 18+  years","28.1 [27.7-28.5]","27.8 [27.5-28]"
"Mexico"," Female"," 18+  years","28.7 [28.1-29.3]","28.3 [27.9-28.7]"
"Mexico"," Male"," 18+  years","27.5 [26.9-28.1]","27.2 [26.8-27.6]"
"Micronesia (Federated States of)"," Both sexes"," 18+  years","29.4 [28.7-30]","29.2 [28.6-29.7]"
"Micronesia (Federated States of)"," Female"," 18+  years","31 [30-32]","30.8 [30-31.6]"
"Micronesia (Federated States of)"," Male"," 18+  years","27.8 [26.9-28.7]","27.6 [26.9-28.4]"
"Monaco"," Both sexes"," 18+  years","No data","No data"
"Monaco"," Female"," 18+  years","No data","No data"
"Monaco"," Male"," 18+  years","No data","No data"
"Mongolia"," Both sexes"," 18+  years","26 [25.4-26.4]","25.4 [25-25.8]"
"Mongolia"," Female"," 18+  years","26.4 [25.6-27.1]","25.8 [25.3-26.4]"
"Mongolia"," Male"," 18+  years","25.5 [24.9-26.2]","24.9 [24.5-25.4]"
"Montenegro"," Both sexes"," 18+  years","26 [23.9-27.9]","25.9 [24-27.7]"
"Montenegro"," Female"," 18+  years","25.5 [22.3-28.6]","25.5 [22.5-28.4]"
"Montenegro"," Male"," 18+  years","26.5 [24.1-29]","26.2 [23.9-28.6]"
"Morocco"," Both sexes"," 18+  years","25.6 [24.7-26.4]","25.2 [24.6-25.9]"
"Morocco"," Female"," 18+  years","25.9 [24.8-26.9]","25.6 [24.8-26.4]"
"Morocco"," Male"," 18+  years","25.2 [23.9-26.6]","24.8 [23.8-25.9]"
"Mozambique"," Both sexes"," 18+  years","22.3 [21.6-23.1]","22.1 [21.5-22.7]"
"Mozambique"," Female"," 18+  years","23 [22.1-23.9]","22.7 [22-23.4]"
"Mozambique"," Male"," 18+  years","21.6 [20.4-22.8]","21.4 [20.5-22.4]"
"Myanmar"," Both sexes"," 18+  years","22.6 [21.9-23.4]","22.3 [21.7-22.8]"
"Myanmar"," Female"," 18+  years","23.2 [22.1-24.2]","22.8 [21.9-23.7]"
"Myanmar"," Male"," 18+  years","22.1 [21.1-23.1]","21.7 [20.9-22.5]"
"Namibia"," Both sexes"," 18+  years","24.3 [23.5-25.1]","23.9 [23.3-24.6]"
"Namibia"," Female"," 18+  years","25.6 [24.5-26.7]","25.3 [24.4-26.1]"
"Namibia"," Male"," 18+  years","22.9 [21.6-24.1]","22.5 [21.5-23.5]"
"Nauru"," Both sexes"," 18+  years","32.5 [31.6-33.3]","32.6 [32-33.2]"
"Nauru"," Female"," 18+  years","32.8 [31.6-34.1]","33 [32-34]"
"Nauru"," Male"," 18+  years","32.1 [30.9-33.2]","32.2 [31.4-33.1]"
"Nepal"," Both sexes"," 18+  years","22.2 [21.7-22.8]","21.7 [21.3-22.2]"
"Nepal"," Female"," 18+  years","22 [21.4-22.7]","21.4 [20.9-22]"
"Nepal"," Male"," 18+  years","22.4 [21.6-23.2]","22 [21.3-22.8]"
"Netherlands"," Both sexes"," 18+  years","25.4 [24.7-26.1]","25.3 [24.8-25.8]"
"Netherlands"," Female"," 18+  years","25 [23.9-26]","24.9 [24.1-25.7]"
"Netherlands"," Male"," 18+  years","25.9 [24.9-26.8]","25.7 [25-26.3]"
"New Zealand"," Both sexes"," 18+  years","27.9 [27.5-28.2]","27.6 [27.3-27.9]"
"New Zealand"," Female"," 18+  years","27.8 [27.2-28.3]","27.5 [27.1-27.9]"
"New Zealand"," Male"," 18+  years","28 [27.4-28.5]","27.7 [27.3-28.1]"
"Nicaragua"," Both sexes"," 18+  years","26.9 [25.9-27.8]","26.6 [25.7-27.4]"
"Nicaragua"," Female"," 18+  years","27.8 [26.7-28.9]","27.4 [26.6-28.2]"
"Nicaragua"," Male"," 18+  years","26 [24.3-27.7]","25.7 [24.3-27.2]"
"Niger"," Both sexes"," 18+  years","21.7 [21.1-22.4]","21.5 [20.9-22]"
"Niger"," Female"," 18+  years","22.2 [21.4-23]","21.9 [21.3-22.5]"
"Niger"," Male"," 18+  years","21.3 [20.2-22.3]","21.1 [20.2-21.9]"
"Nigeria"," Both sexes"," 18+  years","23.4 [22.7-24]","23.1 [22.6-23.5]"
"Nigeria"," Female"," 18+  years","24 [23.3-24.7]","23.7 [23.2-24.2]"
"Nigeria"," Male"," 18+  years","22.8 [21.8-23.7]","22.4 [21.7-23.2]"
"Niue"," Both sexes"," 18+  years","32.3 [31.6-32.9]","32 [31.4-32.5]"
"Niue"," Female"," 18+  years","33.1 [32.2-34.1]","32.9 [32-33.7]"
"Niue"," Male"," 18+  years","31.4 [30.6-32.2]","31.1 [30.4-31.9]"
"Norway"," Both sexes"," 18+  years","26 [25.2-26.8]","25.9 [25.3-26.5]"
"Norway"," Female"," 18+  years","25.2 [23.9-26.4]","25.1 [24.2-26.1]"
"Norway"," Male"," 18+  years","26.9 [25.8-28]","26.6 [25.8-27.5]"
"Oman"," Both sexes"," 18+  years","26.9 [26-27.8]","26.5 [25.8-27.2]"
"Oman"," Female"," 18+  years","27.1 [25.7-28.6]","26.8 [25.6-27.9]"
"Oman"," Male"," 18+  years","26.8 [25.6-28]","26.3 [25.3-27.3]"
"Pakistan"," Both sexes"," 18+  years","23.8 [23.1-24.5]","23.4 [22.9-23.9]"
"Pakistan"," Female"," 18+  years","24.4 [23.7-25.1]","24 [23.4-24.5]"
"Pakistan"," Male"," 18+  years","23.3 [22.2-24.5]","23 [22.2-23.8]"
"Palau"," Both sexes"," 18+  years","29.4 [28.7-30.2]","29.4 [28.6-30]"
"Palau"," Female"," 18+  years","29.5 [28.5-30.6]","29.5 [28.4-30.5]"
"Palau"," Male"," 18+  years","29.4 [28.4-30.3]","29.2 [28.3-30.2]"
"Panama"," Both sexes"," 18+  years","27.1 [26.1-28]","26.6 [25.8-27.4]"
"Panama"," Female"," 18+  years","27.7 [26.2-29.1]","27.2 [26-28.4]"
"Panama"," Male"," 18+  years","26.4 [25.1-27.7]","26 [24.9-27]"
"Papua New Guinea"," Both sexes"," 18+  years","25.3 [24.5-26.1]","25 [24.3-25.7]"
"Papua New Guinea"," Female"," 18+  years","25.6 [24.4-26.9]","25.3 [24.2-26.3]"
"Papua New Guinea"," Male"," 18+  years","25 [23.9-26.1]","24.8 [23.9-25.6]"
"Paraguay"," Both sexes"," 18+  years","25.8 [23.8-27.8]","25.4 [23.6-27.2]"
"Paraguay"," Female"," 18+  years","26 [22.9-29.1]","25.6 [22.6-28.6]"
"Paraguay"," Male"," 18+  years","25.6 [23.1-28]","25.3 [22.9-27.6]"
"Peru"," Both sexes"," 18+  years","26.3 [25.8-26.9]","25.9 [25.5-26.3]"
"Peru"," Female"," 18+  years","26.9 [26.4-27.5]","26.6 [26.2-26.9]"
"Peru"," Male"," 18+  years","25.7 [24.8-26.7]","25.2 [24.6-25.9]"
"Philippines"," Both sexes"," 18+  years","23.2 [22.4-23.9]","22.9 [22.3-23.4]"
"Philippines"," Female"," 18+  years","23.4 [22.2-24.5]","23.1 [22.3-23.9]"
"Philippines"," Male"," 18+  years","22.9 [22-24]","22.6 [21.9-23.4]"
"Poland"," Both sexes"," 18+  years","26.4 [25.6-27.2]","26.1 [25.6-26.7]"
"Poland"," Female"," 18+  years","25.7 [24.6-26.9]","25.7 [24.8-26.5]"
"Poland"," Male"," 18+  years","27 [26.1-28]","26.7 [26-27.3]"
"Portugal"," Both sexes"," 18+  years","26.2 [25.4-27]","26.1 [25.4-26.8]"
"Portugal"," Female"," 18+  years","25.7 [24.5-26.9]","25.7 [24.7-26.6]"
"Portugal"," Male"," 18+  years","26.7 [25.7-27.8]","26.5 [25.7-27.4]"
"Qatar"," Both sexes"," 18+  years","29.2 [28.7-29.9]","28.6 [28.1-29.2]"
"Qatar"," Female"," 18+  years","30.1 [29.3-31]","29.6 [28.9-30.3]"
"Qatar"," Male"," 18+  years","29 [28.2-29.7]","28.3 [27.7-28.9]"
"Republic of Korea"," Both sexes"," 18+  years","23.9 [23.4-24.3]","23.6 [23.3-23.8]"
"Republic of Korea"," Female"," 18+  years","23.4 [22.7-24.1]","23.1 [22.8-23.5]"
"Republic of Korea"," Male"," 18+  years","24.3 [23.7-24.9]","24 [23.6-24.4]"
"Republic of Moldova"," Both sexes"," 18+  years","26.7 [26.1-27.3]","26.5 [26-27]"
"Republic of Moldova"," Female"," 18+  years","27.1 [26.2-27.9]","27 [26.2-27.6]"
"Republic of Moldova"," Male"," 18+  years","26.3 [25.5-27.2]","26 [25.2-26.9]"
"Romania"," Both sexes"," 18+  years","25.3 [24.2-26.5]","25.2 [24.3-26.1]"
"Romania"," Female"," 18+  years","24.9 [23.2-26.6]","24.9 [23.5-26.3]"
"Romania"," Male"," 18+  years","25.7 [24.3-27.1]","25.4 [24.3-26.5]"
"Russian Federation"," Both sexes"," 18+  years","26.5 [25.8-27.1]","26.2 [25.8-26.7]"
"Russian Federation"," Female"," 18+  years","26.8 [25.9-27.8]","26.7 [26.1-27.3]"
"Russian Federation"," Male"," 18+  years","26.1 [25.2-27.1]","25.7 [25.1-26.3]"
"Rwanda"," Both sexes"," 18+  years","22 [21.5-22.5]","21.7 [21.3-22.1]"
"Rwanda"," Female"," 18+  years","22.7 [21.9-23.4]","22.3 [21.7-22.9]"
"Rwanda"," Male"," 18+  years","21.3 [20.6-22]","21.1 [20.5-21.6]"
"Saint Kitts and Nevis"," Both sexes"," 18+  years","29.7 [28.5-30.7]","29.2 [28.2-30.1]"
"Saint Kitts and Nevis"," Female"," 18+  years","30.9 [29.3-32.5]","30.3 [28.9-31.7]"
"Saint Kitts and Nevis"," Male"," 18+  years","28.4 [26.9-30]","28 [26.6-29.3]"
"Saint Lucia"," Both sexes"," 18+  years","29.6 [28.8-30.3]","28.8 [28.2-29.4]"
"Saint Lucia"," Female"," 18+  years","30.2 [29.1-31.3]","29.4 [28.5-30.4]"
"Saint Lucia"," Male"," 18+  years","28.9 [28-29.9]","28.1 [27.3-29]"
"Saint Vincent and the Grenadines"," Both sexes"," 18+  years","27.3 [25.5-29.2]","26.8 [24.9-28.7]"
"Saint Vincent and the Grenadines"," Female"," 18+  years","28.1 [25.1-31.1]","27.6 [24.7-30.5]"
"Saint Vincent and the Grenadines"," Male"," 18+  years","26.5 [24-28.9]","25.9 [23.6-28.2]"
"Samoa"," Both sexes"," 18+  years","31.7 [31.1-32.3]","31.4 [30.9-31.9]"
"Samoa"," Female"," 18+  years","33.5 [32.6-34.4]","33.1 [32.4-33.9]"
"Samoa"," Male"," 18+  years","29.9 [29.2-30.7]","29.7 [29.1-30.3]"
"San Marino"," Both sexes"," 18+  years","No data","No data"
"San Marino"," Female"," 18+  years","No data","No data"
"San Marino"," Male"," 18+  years","No data","No data"
"Sao Tome and Principe"," Both sexes"," 18+  years","24.8 [24.1-25.4]","24.4 [23.9-24.9]"
"Sao Tome and Principe"," Female"," 18+  years","25.6 [24.7-26.5]","25.2 [24.4-26]"
"Sao Tome and Principe"," Male"," 18+  years","23.9 [23.1-24.8]","23.6 [23-24.3]"
"Saudi Arabia"," Both sexes"," 18+  years","28.5 [27.7-29.2]","28.1 [27.5-28.6]"
"Saudi Arabia"," Female"," 18+  years","28.7 [27.6-29.9]","28.4 [27.6-29.3]"
"Saudi Arabia"," Male"," 18+  years","28.3 [27.3-29.3]","27.8 [27.1-28.6]"
"Senegal"," Both sexes"," 18+  years","23 [22.3-23.6]","22.7 [22.2-23.2]"
"Senegal"," Female"," 18+  years","24.1 [23.1-25]","23.8 [23.1-24.5]"
"Senegal"," Male"," 18+  years","21.8 [21-22.7]","21.6 [20.9-22.4]"
"Serbia"," Both sexes"," 18+  years","25.8 [25.1-26.5]","25.7 [25.2-26.2]"
"Serbia"," Female"," 18+  years","25.2 [24-26.5]","25.2 [24.3-26.1]"
"Serbia"," Male"," 18+  years","26.4 [25.7-27.1]","26.2 [25.7-26.8]"
"Seychelles"," Both sexes"," 18+  years","26.8 [26.2-27.4]","26.4 [26-26.9]"
"Seychelles"," Female"," 18+  years","28 [27.2-28.8]","27.7 [27-28.4]"
"Seychelles"," Male"," 18+  years","25.6 [24.9-26.4]","25.2 [24.6-25.8]"
"Sierra Leone"," Both sexes"," 18+  years","22.8 [22.3-23.3]","22.5 [22.1-23]"
"Sierra Leone"," Female"," 18+  years","23.6 [22.9-24.4]","23.3 [22.7-23.9]"
"Sierra Leone"," Male"," 18+  years","22 [21.3-22.6]","21.8 [21.2-22.4]"
"Singapore"," Both sexes"," 18+  years","23.7 [23.3-24.2]","23.6 [23.3-23.9]"
"Singapore"," Female"," 18+  years","23.2 [22.5-23.9]","23.1 [22.6-23.6]"
"Singapore"," Male"," 18+  years","24.3 [23.7-24.9]","24.1 [23.6-24.5]"
"Slovakia"," Both sexes"," 18+  years","26.5 [25.8-27.2]","26.3 [25.7-26.9]"
"Slovakia"," Female"," 18+  years","25.7 [24.7-26.7]","25.6 [24.7-26.5]"
"Slovakia"," Male"," 18+  years","27.4 [26.5-28.3]","27 [26.2-27.9]"
"Slovenia"," Both sexes"," 18+  years","26.9 [24.8-28.9]","26.7 [24.8-28.6]"
"Slovenia"," Female"," 18+  years","26.3 [23.3-29.5]","26.2 [23.4-29.2]"
"Slovenia"," Male"," 18+  years","27.5 [25-29.8]","27.2 [24.8-29.4]"
"Solomon Islands"," Both sexes"," 18+  years","25.5 [24.7-26.2]","25.4 [24.7-26.1]"
"Solomon Islands"," Female"," 18+  years","26.4 [25.3-27.5]","26.3 [25.3-27.2]"
"Solomon Islands"," Male"," 18+  years","24.5 [23.4-25.5]","24.5 [23.6-25.4]"
"Somalia"," Both sexes"," 18+  years","21.9 [19.8-23.9]","21.7 [19.8-23.8]"
"Somalia"," Female"," 18+  years","22.5 [19.4-25.6]","22.3 [19.3-25.2]"
"Somalia"," Male"," 18+  years","21.2 [18.8-23.8]","21.2 [18.9-23.6]"
"South Africa"," Both sexes"," 18+  years","27.3 [26.9-27.7]","26.9 [26.7-27.2]"
"South Africa"," Female"," 18+  years","29.1 [28.5-29.8]","28.7 [28.3-29.1]"
"South Africa"," Male"," 18+  years","25.4 [24.7-25.9]","25 [24.6-25.4]"
"South Sudan"," Both sexes"," 18+  years","25.2 [24.4-26.1]","24.9 [24.2-25.6]"
"South Sudan"," Female"," 18+  years","26.7 [25.5-28]","26.3 [25.3-27.4]"
"South Sudan"," Male"," 18+  years","23.7 [22.5-24.8]","23.4 [22.5-24.3]"
"Spain"," Both sexes"," 18+  years","26.7 [26.1-27.4]","26.6 [26.2-27]"
"Spain"," Female"," 18+  years","26 [25.1-26.9]","26 [25.4-26.6]"
"Spain"," Male"," 18+  years","27.4 [26.6-28.2]","27.2 [26.7-27.7]"
"Sri Lanka"," Both sexes"," 18+  years","23 [22.2-23.8]","22.5 [22-23.1]"
"Sri Lanka"," Female"," 18+  years","23.5 [22.4-24.7]","23 [22.2-23.9]"
"Sri Lanka"," Male"," 18+  years","22.5 [21.5-23.6]","22 [21.3-22.8]"
"Sudan"," Both sexes"," 18+  years","25.2 [24.4-26.1]","24.9 [24.2-25.6]"
"Sudan"," Female"," 18+  years","26.7 [25.5-28]","26.3 [25.3-27.4]"
"Sudan"," Male"," 18+  years","23.7 [22.5-24.8]","23.4 [22.5-24.3]"
"Suriname"," Both sexes"," 18+  years","27.4 [25.5-29.2]","26.8 [25-28.7]"
"Suriname"," Female"," 18+  years","28.2 [25.1-31.2]","27.7 [24.8-30.6]"
"Suriname"," Male"," 18+  years","26.5 [24.1-29]","26 [23.7-28.3]"
"Swaziland"," Both sexes"," 18+  years","26.5 [25.7-27.4]","26.2 [25.4-26.9]"
"Swaziland"," Female"," 18+  years","28.9 [27.6-30.2]","28.4 [27.4-29.5]"
"Swaziland"," Male"," 18+  years","24.1 [23-25.3]","23.8 [22.9-24.7]"
"Sweden"," Both sexes"," 18+  years","25.8 [25-26.6]","25.6 [25.1-26.1]"
"Sweden"," Female"," 18+  years","24.9 [23.7-26]","24.8 [24-25.7]"
"Sweden"," Male"," 18+  years","26.7 [25.5-27.7]","26.4 [25.7-27.1]"
"Switzerland"," Both sexes"," 18+  years","25.3 [24.5-26]","25.1 [24.5-25.8]"
"Switzerland"," Female"," 18+  years","23.8 [22.5-25.2]","23.9 [22.7-25]"
"Switzerland"," Male"," 18+  years","26.7 [25.9-27.5]","26.4 [25.8-27.1]"
"Syrian Arab Republic"," Both sexes"," 18+  years","28.1 [27.2-29]","27.7 [27-28.5]"
"Syrian Arab Republic"," Female"," 18+  years","29 [27.6-30.4]","28.6 [27.5-29.8]"
"Syrian Arab Republic"," Male"," 18+  years","27.2 [26-28.5]","26.8 [25.8-27.9]"
"Tajikistan"," Both sexes"," 18+  years","25.4 [24.1-26.6]","24.9 [23.7-26.2]"
"Tajikistan"," Female"," 18+  years","25.3 [24.3-26.4]","24.8 [23.9-25.8]"
"Tajikistan"," Male"," 18+  years","25.5 [23-28]","25.1 [22.7-27.4]"
"Thailand"," Both sexes"," 18+  years","24.1 [23.4-24.7]","23.8 [23.3-24.2]"
"Thailand"," Female"," 18+  years","24.6 [23.7-25.5]","24.4 [23.7-25]"
"Thailand"," Male"," 18+  years","23.6 [22.7-24.4]","23.2 [22.6-23.8]"
"The former Yugoslav republic of Macedonia"," Both sexes"," 18+  years","25.8 [24.2-27.3]","25.7 [24.4-27.1]"
"The former Yugoslav republic of Macedonia"," Female"," 18+  years","25.3 [23.5-27.1]","25.2 [23.7-26.7]"
"The former Yugoslav republic of Macedonia"," Male"," 18+  years","26.4 [23.9-28.8]","26.1 [23.8-28.4]"
"Timor-Leste"," Both sexes"," 18+  years","21.2 [19.7-22.6]","20.9 [19.6-22.2]"
"Timor-Leste"," Female"," 18+  years","21 [19.9-22.1]","20.7 [19.7-21.7]"
"Timor-Leste"," Male"," 18+  years","21.5 [19-24]","21.1 [18.7-23.5]"
"Togo"," Both sexes"," 18+  years","23.2 [22.5-23.9]","22.9 [22.3-23.5]"
"Togo"," Female"," 18+  years","24 [23-25.1]","23.6 [22.8-24.4]"
"Togo"," Male"," 18+  years","22.4 [21.5-23.4]","22.2 [21.4-23.1]"
"Tonga"," Both sexes"," 18+  years","31.9 [31.3-32.6]","31.8 [31.3-32.3]"
"Tonga"," Female"," 18+  years","33.5 [32.6-34.4]","33.3 [32.5-34]"
"Tonga"," Male"," 18+  years","30.4 [29.6-31.3]","30.3 [29.6-30.9]"
"Trinidad and Tobago"," Both sexes"," 18+  years","28.7 [27.4-29.9]","28 [26.9-29]"
"Trinidad and Tobago"," Female"," 18+  years","29.4 [27.6-31.3]","28.8 [27.3-30.2]"
"Trinidad and Tobago"," Male"," 18+  years","27.9 [26.3-29.5]","27.2 [25.9-28.4]"
"Tunisia"," Both sexes"," 18+  years","26.8 [25.9-27.7]","26.3 [25.6-27]"
"Tunisia"," Female"," 18+  years","27.5 [26.2-28.9]","27.1 [26-28.2]"
"Tunisia"," Male"," 18+  years","26 [24.9-27.3]","25.5 [24.6-26.5]"
"Turkey"," Both sexes"," 18+  years","27.8 [27.4-28.3]","27.5 [27.1-27.8]"
"Turkey"," Female"," 18+  years","28.5 [27.9-29.2]","28.2 [27.8-28.7]"
"Turkey"," Male"," 18+  years","27.1 [26.5-27.8]","26.7 [26.2-27.1]"
"Turkmenistan"," Both sexes"," 18+  years","26.4 [25.8-27]","25.8 [25.2-26.4]"
"Turkmenistan"," Female"," 18+  years","26.4 [25.5-27.2]","25.8 [25.1-26.6]"
"Turkmenistan"," Male"," 18+  years","26.4 [25.5-27.2]","25.8 [25-26.6]"
"Tuvalu"," Both sexes"," 18+  years","29.3 [27.4-31.1]","29.1 [27.1-30.9]"
"Tuvalu"," Female"," 18+  years","29.9 [26.9-32.9]","29.7 [26.8-32.6]"
"Tuvalu"," Male"," 18+  years","28.7 [26.3-31.1]","28.5 [26.2-30.8]"
"Uganda"," Both sexes"," 18+  years","22 [21.4-22.6]","21.7 [21.2-22.2]"
"Uganda"," Female"," 18+  years","23 [22-24]","22.6 [21.8-23.3]"
"Uganda"," Male"," 18+  years","21 [20.2-21.8]","20.8 [20.2-21.5]"
"Ukraine"," Both sexes"," 18+  years","26 [24.5-27.5]","25.9 [24.5-27.2]"
"Ukraine"," Female"," 18+  years","25.8 [24-27.5]","25.8 [24.2-27.3]"
"Ukraine"," Male"," 18+  years","26.4 [23.9-28.9]","26.1 [23.7-28.5]"
"United Arab Emirates"," Both sexes"," 18+  years","29 [27.9-30]","28.6 [27.8-29.4]"
"United Arab Emirates"," Female"," 18+  years","29.7 [28.3-31.3]","29.5 [28.3-30.7]"
"United Arab Emirates"," Male"," 18+  years","28.6 [27.3-30]","28.2 [27.1-29.3]"
"United Kingdom of Great Britain and Northern Ireland"," Both sexes"," 18+  years","27.3 [27-27.6]","27 [26.9-27.2]"
"United Kingdom of Great Britain and Northern Ireland"," Female"," 18+  years","27.1 [26.7-27.6]","26.9 [26.6-27.1]"
"United Kingdom of Great Britain and Northern Ireland"," Male"," 18+  years","27.5 [27-27.9]","27.2 [27-27.5]"
"United Republic of Tanzania"," Both sexes"," 18+  years","23.1 [22.6-23.5]","22.8 [22.4-23.1]"
"United Republic of Tanzania"," Female"," 18+  years","24 [23.3-24.6]","23.5 [23-24]"
"United Republic of Tanzania"," Male"," 18+  years","22.2 [21.5-22.9]","22 [21.4-22.6]"
"United States of America"," Both sexes"," 18+  years","28.8 [28.4-29.2]","28.5 [28.2-28.8]"
"United States of America"," Female"," 18+  years","28.8 [28.2-29.4]","28.5 [28.1-28.9]"
"United States of America"," Male"," 18+  years","28.8 [28.2-29.3]","28.5 [28.2-28.9]"
"Uruguay"," Both sexes"," 18+  years","26.8 [26-27.7]","26.4 [25.7-27.2]"
"Uruguay"," Female"," 18+  years","26.9 [25.5-28.2]","26.6 [25.4-27.6]"
"Uruguay"," Male"," 18+  years","26.7 [25.5-28]","26.3 [25.3-27.3]"
"Uzbekistan"," Both sexes"," 18+  years","26.1 [25.1-27]","25.6 [24.9-26.3]"
"Uzbekistan"," Female"," 18+  years","26.3 [24.8-27.7]","25.7 [24.5-26.9]"
"Uzbekistan"," Male"," 18+  years","25.9 [24.6-27.2]","25.4 [24.3-26.4]"
"Vanuatu"," Both sexes"," 18+  years","26.2 [25.7-26.8]","26 [25.5-26.5]"
"Vanuatu"," Female"," 18+  years","26.8 [25.9-27.7]","26.6 [25.9-27.3]"
"Vanuatu"," Male"," 18+  years","25.6 [24.8-26.4]","25.5 [24.8-26.1]"
"Venezuela (Bolivarian Republic of)"," Both sexes"," 18+  years","27.2 [26.5-28]","27 [26.4-27.6]"
"Venezuela (Bolivarian Republic of)"," Female"," 18+  years","27.1 [26-28.3]","26.9 [26-27.8]"
"Venezuela (Bolivarian Republic of)"," Male"," 18+  years","27.4 [26.3-28.4]","27.1 [26.3-27.9]"
"Viet Nam"," Both sexes"," 18+  years","21.6 [20.9-22.2]","21.1 [20.7-21.5]"
"Viet Nam"," Female"," 18+  years","21.6 [20.7-22.5]","21.2 [20.6-21.8]"
"Viet Nam"," Male"," 18+  years","21.5 [20.7-22.4]","21 [20.5-21.6]"
"Yemen"," Both sexes"," 18+  years","25.8 [23.7-27.8]","25.5 [23.6-27.4]"
"Yemen"," Female"," 18+  years","26.5 [23.4-29.7]","26.2 [23.2-29.3]"
"Yemen"," Male"," 18+  years","25.2 [22.7-27.7]","24.8 [22.5-27.2]"
"Zambia"," Both sexes"," 18+  years","22.6 [21.8-23.5]","22.3 [21.6-23]"
"Zambia"," Female"," 18+  years","23.8 [22.8-24.8]","23.4 [22.6-24.1]"
"Zambia"," Male"," 18+  years","21.5 [20.2-22.8]","21.3 [20.1-22.4]"
"Zimbabwe"," Both sexes"," 18+  years","23.4 [22.8-24]","23.3 [22.9-23.7]"
"Zimbabwe"," Female"," 18+  years","25 [24.1-25.9]","24.8 [24.2-25.5]"
"Zimbabwe"," Male"," 18+  years","21.8 [21-22.6]","21.7 [21.1-22.3]"
